iter	MAE
0	53665.42013
1	51907.41963
2	50015.78125
3	48443.71778
4	46967.61223
5	45438.74873
6	44105.7445
7	42846.18523
8	41665.96889
9	40480.43214
10	39529.09718
11	38364.54672
12	37443.00914
13	36339.09977
14	35480.55416
15	34548.7408
16	33742.67411
17	33082.59124
18	32251.38216
19	31506.16593
20	30812.31257
21	30155.15262
22	29589.48876
23	29026.20897
24	28435.2367
25	27917.86577
26	27502.33637
27	27087.30543
28	26597.09625
29	26271.25848
30	25868.88576
31	25474.69912
32	25108.10081
33	24824.73412
34	24512.6932
35	24192.1272
36	23954.11853
37	23686.44818
38	23439.72717
39	23085.22079
40	22734.7914
41	22440.38473
42	22139.77903
43	21920.46722
44	21730.8029
45	21461.88657
46	21250.24041
47	21021.5688
48	20820.73239
49	20584.9643
50	20437.1531
51	20280.2337
52	20161.7139
53	19999.47256
54	19859.69549
55	19707.7341
56	19547.90286
57	19422.61517
58	19291.73576
59	19112.82537
60	18966.88326
61	18815.13207
62	18702.51431
63	18591.30026
64	18498.67761
65	18395.63317
66	18327.21578
67	18273.17586
68	18162.7516
69	18051.72736
70	17956.60051
71	17836.84709
72	17732.37299
73	17596.04118
74	17497.39805
75	17430.75144
76	17324.31148
77	17262.04211
78	17158.73662
79	17040.42139
80	16985.66929
81	16927.51872
82	16847.86122
83	16767.86424
84	16679.48776
85	16608.20258
86	16533.05674
87	16450.46768
88	16410.47407
89	16362.2765
90	16316.74159
91	16267.86185
92	16227.8675
93	16170.21324
94	16100.49874
95	16024.50716
96	15967.29689
97	15882.4225
98	15818.76829
99	15740.92814
100	15672.94261
101	15606.31892
102	15501.68419
103	15442.55094
104	15399.96885
105	15335.7829
106	15264.7431
107	15178.33095
108	15129.60204
109	15093.38785
110	15035.11443
111	15000.63599
112	14947.94835
113	14880.46803
114	14827.78505
115	14791.54477
116	14725.58222
117	14684.18345
118	14652.6153
119	14617.96795
120	14587.58138
121	14546.21913
122	14494.66859
123	14447.34656
124	14385.44062
125	14337.95084
126	14296.51677
127	14244.85204
128	14184.82178
129	14151.02801
130	14112.07524
131	14088.69175
132	14058.74623
133	14018.00704
134	13991.44012
135	13969.51121
136	13929.64975
137	13911.12596
138	13857.5763
139	13816.58804
140	13783.02329
141	13744.00313
142	13692.41062
143	13649.68182
144	13625.69128
145	13602.54228
146	13561.10992
147	13530.14296
148	13500.41654
149	13478.5015
150	13442.78652
151	13400.17781
152	13360.66156
153	13341.05581
154	13311.97764
155	13293.57481
156	13269.25672
157	13222.25357
158	13195.38739
159	13153.98595
160	13107.636
161	13070.35178
162	13044.67479
163	13001.4478
164	12962.76999
165	12941.92831
166	12907.72396
167	12861.97525
168	12816.02605
169	12793.75817
170	12761.45424
171	12720.52909
172	12691.37313
173	12659.7368
174	12635.71807
175	12608.43218
176	12572.02818
177	12546.92461
178	12531.90091
179	12505.19018
180	12473.11275
181	12445.67582
182	12415.85903
183	12391.19402
184	12327.20308
185	12295.24141
186	12253.61072
187	12220.81283
188	12197.21101
189	12180.34623
190	12153.14728
191	12117.69136
192	12084.58187
193	12058.57617
194	12039.08189
195	12000.15096
196	11975.42891
197	11945.73641
198	11911.06915
199	11872.18119
200	11843.16039
201	11822.74614
202	11791.88068
203	11771.77109
204	11749.0028
205	11726.26124
206	11698.02986
207	11669.48945
208	11646.49064
209	11621.59017
210	11594.68043
211	11577.64944
212	11546.2537
213	11526.08693
214	11494.20325
215	11462.98725
216	11423.31158
217	11402.88784
218	11377.22998
219	11349.32869
220	11334.67495
221	11303.44111
222	11285.93706
223	11272.54011
224	11255.30989
225	11230.08332
226	11205.81616
227	11182.17997
228	11140.49016
229	11119.31355
230	11090.65595
231	11058.72877
232	11040.97062
233	11029.54494
234	11014.93566
235	10994.52548
236	10975.48123
237	10954.04887
238	10935.87497
239	10924.03291
