iter	Passed	Remaining
0	147	44088
1	154	23040
2	162	16040
3	169	12544
4	177	10482
5	185	9108
6	193	8080
7	201	7356
8	208	6744
9	216	6270
10	224	5887
11	232	5571
12	238	5264
13	245	5009
14	251	4783
15	258	4591
16	265	4426
17	272	4276
18	280	4149
19	287	4018
20	293	3904
21	301	3809
22	308	3717
23	315	3633
24	322	3547
25	329	3472
26	335	3394
27	342	3326
28	349	3265
29	355	3202
30	362	3147
31	371	3111
32	378	3064
33	387	3032
34	395	2994
35	403	2958
36	410	2919
37	419	2891
38	428	2865
39	436	2836
40	443	2804
41	454	2789
42	460	2754
43	469	2734
44	476	2701
45	484	2674
46	491	2646
47	499	2624
48	507	2598
49	516	2582
50	522	2552
51	531	2534
52	538	2507
53	548	2496
54	554	2472
55	564	2458
56	571	2434
57	581	2425
58	590	2413
59	599	2397
60	609	2389
61	616	2367
62	625	2354
63	634	2338
64	641	2320
65	649	2303
66	657	2286
67	664	2266
68	671	2249
69	679	2231
70	687	2217
71	694	2198
72	701	2181
73	708	2163
74	715	2146
75	722	2128
76	729	2111
77	736	2095
78	742	2076
79	749	2062
80	756	2045
81	763	2029
82	770	2014
83	777	1998
84	784	1983
85	790	1968
86	798	1954
87	805	1940
88	812	1926
89	819	1911
90	826	1899
91	833	1884
92	841	1872
93	847	1857
94	857	1851
95	864	1837
96	872	1826
97	879	1812
98	886	1799
99	894	1788
100	901	1775
101	908	1763
102	916	1752
103	923	1740
104	930	1727
105	938	1716
106	945	1705
107	953	1694
108	961	1684
109	969	1674
110	976	1663
111	985	1653
112	991	1640
113	998	1629
114	1005	1617
115	1013	1606
116	1019	1594
117	1026	1583
118	1032	1570
119	1039	1558
120	1046	1547
121	1052	1535
122	1059	1524
123	1065	1512
124	1072	1501
125	1079	1490
126	1085	1478
127	1092	1467
128	1099	1457
129	1106	1447
130	1113	1436
131	1119	1425
132	1126	1414
133	1133	1403
134	1141	1394
135	1147	1384
136	1154	1374
137	1164	1366
138	1172	1358
139	1182	1351
140	1190	1341
141	1197	1332
142	1206	1325
143	1215	1316
144	1222	1306
145	1229	1297
146	1237	1288
147	1245	1279
148	1254	1271
149	1261	1261
150	1269	1252
151	1276	1242
152	1284	1234
153	1299	1231
154	1307	1222
155	1316	1215
156	1323	1205
157	1331	1196
158	1340	1188
159	1350	1181
160	1365	1178
161	1378	1174
162	1391	1169
163	1407	1167
164	1417	1159
165	1429	1154
166	1438	1145
167	1444	1135
168	1456	1129
169	1465	1120
170	1474	1112
171	1482	1103
172	1489	1093
173	1496	1083
174	1503	1073
175	1509	1063
176	1516	1053
177	1522	1043
178	1529	1034
179	1536	1024
180	1541	1013
181	1548	1003
182	1554	994
183	1561	984
184	1568	974
185	1575	965
186	1581	955
187	1588	946
188	1596	937
189	1605	929
190	1612	920
191	1620	911
192	1626	901
193	1634	892
194	1640	883
195	1646	873
196	1653	864
197	1659	855
198	1667	846
199	1674	837
200	1681	828
201	1688	819
202	1695	810
203	1702	800
204	1709	792
205	1717	783
206	1724	774
207	1732	766
208	1740	757
209	1749	749
210	1756	740
211	1764	732
212	1772	724
213	1780	715
214	1789	707
215	1798	699
216	1805	690
217	1813	681
218	1820	673
219	1827	664
220	1837	656
221	1843	647
222	1866	644
223	1881	638
224	1894	631
225	1904	623
226	1922	618
227	1937	611
228	1951	605
229	1971	600
230	1988	594
231	1998	585
232	2005	576
233	2011	567
234	2024	559
235	2037	552
236	2044	543
237	2051	534
238	2059	525
239	2066	516
